Suburb,Quarter,Price,Year
Altona North,2019Q3,772500.0,2019
Anglesea,2018Q3,887500.0,2018
Anglesea,2018Q4,925000.0,2018
Anglesea,2019Q1,850000.0,2019
Anglesea,2019Q2,830000.0,2019
Anglesea,2019Q3,1000000.0,2019
Apollo Bay,2018Q3,690000.0,2018
Apollo Bay,2018Q4,550000.0,2018
Apollo Bay,2019Q1,615000.0,2019
Apollo Bay,2019Q2,625000.0,2019
Apollo Bay,2019Q3,600000.0,2019
Ararat,2018Q3,192000.0,2018
Ararat,2018Q4,216300.0,2018
Ararat,2019Q1,214000.0,2019
Ararat,2019Q2,210000.0,2019
Ararat,2019Q3,219000.0,2019
Ardeer,2017Q1,480000.0,2017
Ardeer,2017Q3,636000.0,2017
Ardeer,2017Q4,615000.0,2017
Ardeer,2018Q1,627000.0,2018
Ardeer,2018Q2,595000.0,2018
Ardeer,2018Q3,608000.0,2018
Ardeer,2018Q4,590000.0,2018
Ardeer,2019Q1,635000.0,2019
Ardeer,2019Q2,557500.0,2019
Ardeer,2019Q3,575000.0,2019
Armadale,2016Q1,2307000.0,2016
Armadale,2016Q2,1996000.0,2016
Armadale,2016Q3,2250000.0,2016
Armadale,2016Q4,2500500.0,2016
Armadale,2017Q1,2385000.0,2017
Armadale,2017Q2,1960000.0,2017
Armadale,2017Q3,1669000.0,2017
Armadale,2017Q4,1895000.0,2017
Armadale,2018Q1,1899000.0,2018
Armadale,2018Q2,1681000.0,2018
Armadale,2018Q3,2227600.0,2018
Armadale,2018Q4,2280000.0,2018
Armadale,2019Q1,1935000.0,2019
Armadale,2019Q2,2035000.0,2019
Armadale,2019Q3,2550000.0,2019
Armstrong Creek,2018Q3,550000.0,2018
Armstrong Creek,2018Q4,542500.0,2018
Armstrong Creek,2019Q1,570000.0,2019
Armstrong Creek,2019Q2,535000.0,2019
Armstrong Creek,2019Q3,540000.0,2019
Ascot (Greater Bendigo),2018Q3,371500.0,2018
Ascot (Greater Bendigo),2018Q4,400000.0,2018
Ascot (Greater Bendigo),2019Q1,402500.0,2019
Ascot (Greater Bendigo),2019Q2,450000.0,2019
Ascot (Greater Bendigo),2019Q3,425400.0,2019
Ascot Vale,2016Q1,940000.0,2016
Ascot Vale,2016Q2,1012000.0,2016
Ascot Vale,2016Q3,970000.0,2016
Ascot Vale,2016Q4,1048750.0,2016
Ascot Vale,2017Q1,1247500.0,2017
Ascot Vale,2017Q2,1230000.0,2017
Ascot Vale,2017Q3,1143000.0,2017
Ascot Vale,2017Q4,1325000.0,2017
Ascot Vale,2018Q1,1310000.0,2018
Ascot Vale,2018Q2,1320000.0,2018
Ascot Vale,2018Q3,1200000.0,2018
Ascot Vale,2018Q4,1235400.0,2018
Ascot Vale,2019Q1,1100000.0,2019
Ascot Vale,2019Q2,1181000.0,2019
Ascot Vale,2019Q3,970000.0,2019
Ashburton,2016Q1,1820000.0,2016
Ashburton,2016Q2,1445000.0,2016
Ashburton,2016Q3,1500000.0,2016
Ashburton,2016Q4,1627500.0,2016
Ashburton,2017Q1,1815000.0,2017
Ashburton,2017Q2,1972500.0,2017
Ashburton,2017Q3,1697500.0,2017
Ashburton,2017Q4,1620000.0,2017
Ashburton,2018Q1,1750000.0,2018
Ashburton,2018Q3,1637500.0,2018
Ashburton,2018Q4,1590400.0,2018
Ashburton,2019Q1,1430000.0,2019
Ashburton,2019Q2,1498500.0,2019
Ashburton,2019Q3,1750000.0,2019
Ashwood,2016Q1,1122500.0,2016
Ashwood,2016Q2,1200000.0,2016
Ashwood,2016Q3,1195000.0,2016
Ashwood,2016Q4,1236400.0,2016
Ashwood,2017Q1,1212500.0,2017
Ashwood,2017Q2,1162500.0,2017
Ashwood,2017Q3,1390000.0,2017
Ashwood,2017Q4,1483000.0,2017
Ashwood,2018Q1,1460000.0,2018
Ashwood,2018Q2,1191500.0,2018
Ashwood,2018Q3,1200000.0,2018
Ashwood,2018Q4,1100000.0,2018
Ashwood,2019Q1,1030000.0,2019
Ashwood,2019Q2,1050000.0,2019
Ashwood,2019Q3,1210000.0,2019
Aspendale,2017Q1,1385000.0,2017
Aspendale,2017Q2,1150000.0,2017
Aspendale,2017Q3,1097500.0,2017
Aspendale,2017Q4,1125000.0,2017
Aspendale,2018Q1,950000.0,2018
Aspendale,2018Q2,915000.0,2018
Aspendale,2018Q3,940000.0,2018
Aspendale,2018Q4,1002500.0,2018
Aspendale,2019Q1,975000.0,2019
Aspendale,2019Q2,1030000.0,2019
Aspendale,2019Q3,1012500.0,2019
Aspendale Gardens,2017Q2,845000.0,2017
Aspendale Gardens,2017Q3,867500.0,2017
Aspendale Gardens,2017Q4,915000.0,2017
Aspendale Gardens,2018Q1,1000000.0,2018
Aspendale Gardens,2018Q3,945000.0,2018
Aspendale Gardens,2018Q4,940000.0,2018
Aspendale Gardens,2019Q1,852000.0,2019
Aspendale Gardens,2019Q2,815500.0,2019
Aspendale Gardens,2019Q3,836000.0,2019
Attwood,2017Q1,1025000.0,2017
Attwood,2017Q3,825000.0,2017
Attwood,2017Q4,840000.0,2017
Attwood,2018Q1,578000.0,2018
Attwood,2018Q3,860000.0,2018
Attwood,2018Q4,816000.0,2018
Attwood,2019Q1,809000.0,2019
Attwood,2019Q2,780000.0,2019
Attwood,2019Q3,699500.0,2019
Avenel,2018Q3,349000.0,2018
Avenel,2018Q4,533000.0,2018
Avenel,2019Q1,392500.0,2019
Avenel,2019Q2,387000.0,2019
Avenel,2019Q3,351000.0,2019
Avoca,2018Q3,239300.0,2018
Avoca,2018Q4,222500.0,2018
Avoca,2019Q1,220000.0,2019
Avoca,2019Q2,180000.0,2019
Avoca,2019Q3,160000.0,2019
Avondale Heights,2016Q1,850000.0,2016
Avondale Heights,2016Q2,782500.0,2016
Avondale Heights,2016Q3,735000.0,2016
Avondale Heights,2016Q4,815000.0,2016
Avondale Heights,2017Q1,862500.0,2017
Avondale Heights,2017Q2,848000.0,2017
Avondale Heights,2017Q3,835000.0,2017
Avondale Heights,2017Q4,880000.0,2017
Avondale Heights,2018Q1,810000.0,2018
Avondale Heights,2018Q2,771250.0,2018
Avondale Heights,2018Q3,842500.0,2018
Avondale Heights,2018Q4,820000.0,2018
Avondale Heights,2019Q1,780000.0,2019
Avondale Heights,2019Q2,790000.0,2019
Avondale Heights,2019Q3,805000.0,2019
Bacchus Marsh,2017Q3,348500.0,2017
Bacchus Marsh,2017Q4,497500.0,2017
Bacchus Marsh,2018Q3,487500.0,2018
Bacchus Marsh,2018Q4,517500.0,2018
Bacchus Marsh,2019Q1,505000.0,2019
Bacchus Marsh,2019Q2,499800.0,2019
Bacchus Marsh,2019Q3,498500.0,2019
Badger Creek,2018Q3,590000.0,2018
Badger Creek,2018Q4,428500.0,2018
Badger Creek,2019Q1,580000.0,2019
Badger Creek,2019Q2,442500.0,2019
Badger Creek,2019Q3,435000.0,2019
Bairnsdale,2018Q3,270000.0,2018
Bairnsdale,2018Q4,265000.0,2018
Bairnsdale,2019Q1,251000.0,2019
Bairnsdale,2019Q2,289000.0,2019
Bairnsdale,2019Q3,274500.0,2019
Balaclava,2016Q1,1819000.0,2016
Balaclava,2016Q2,1136500.0,2016
Balaclava,2017Q1,1335500.0,2017
Balaclava,2017Q2,1475000.0,2017
Balaclava,2017Q3,1425000.0,2017
Balaclava,2017Q4,2225000.0,2017
Balaclava,2018Q1,1313750.0,2018
Balaclava,2018Q3,1049000.0,2018
Balaclava,2018Q4,1085000.0,2018
Balaclava,2019Q1,1125000.0,2019
Balaclava,2019Q2,1415000.0,2019
Balaclava,2019Q3,1450000.0,2019
Balcombe,2018Q3,1317500.0,2018
Balcombe,2018Q4,1200000.0,2018
Balcombe,2019Q1,1125000.0,2019
Balcombe,2019Q2,1127500.0,2019
Balcombe,2019Q3,1085000.0,2019
Ballan,2018Q3,450500.0,2018
Ballan,2018Q4,530000.0,2018
Ballan,2019Q1,435000.0,2019
Ballan,2019Q2,470000.0,2019
Ballan,2019Q3,484800.0,2019
Ballarat Central,2018Q3,420000.0,2018
Ballarat Central,2018Q4,470000.0,2018
Ballarat Central,2019Q1,532500.0,2019
Ballarat Central,2019Q2,495000.0,2019
Ballarat Central,2019Q3,510000.0,2019
Ballarat East,2018Q3,329000.0,2018
Ballarat East,2018Q4,347500.0,2018
Ballarat East,2019Q1,367000.0,2019
Ballarat East,2019Q2,350000.0,2019
Ballarat East,2019Q3,340000.0,2019
Ballarat North,2018Q3,399500.0,2018
Ballarat North,2018Q4,395000.0,2018
Ballarat North,2019Q1,395000.0,2019
Ballarat North,2019Q2,402500.0,2019
Ballarat North,2019Q3,393800.0,2019
Balnarring,2018Q3,977000.0,2018
Balnarring,2018Q4,780000.0,2018
Balnarring,2019Q1,915000.0,2019
Balnarring,2019Q2,780000.0,2019
Balnarring,2019Q3,825000.0,2019
Balwyn,2016Q1,2250000.0,2016
Balwyn,2016Q2,2020000.0,2016
Balwyn,2016Q3,1850000.0,2016
Balwyn,2016Q4,2380000.0,2016
Balwyn,2017Q1,1820000.0,2017
Balwyn,2017Q2,2050000.0,2017
Balwyn,2017Q3,2270000.0,2017
Balwyn,2017Q4,2265000.0,2017
Balwyn,2018Q1,2400000.0,2018
Balwyn,2018Q2,2092500.0,2018
Balwyn,2018Q3,2700000.0,2018
Balwyn,2018Q4,2337500.0,2018
Balwyn,2019Q1,2560000.0,2019
Balwyn,2019Q2,2000000.0,2019
Balwyn,2019Q3,2425000.0,2019
Balwyn North,2016Q1,1902500.0,2016
Balwyn North,2016Q2,1655000.0,2016
Balwyn North,2016Q3,1750000.0,2016
Balwyn North,2016Q4,1750000.0,2016
Balwyn North,2017Q1,1752500.0,2017
Balwyn North,2017Q2,1825000.0,2017
Balwyn North,2017Q3,1916500.0,2017
Balwyn North,2017Q4,1746500.0,2017
Balwyn North,2018Q1,2030000.0,2018
Balwyn North,2018Q2,1960000.0,2018
Balwyn North,2018Q3,1770000.0,2018
Balwyn North,2018Q4,1560000.0,2018
Balwyn North,2019Q1,1595000.0,2019
Balwyn North,2019Q2,1600000.0,2019
Balwyn North,2019Q3,1735000.0,2019
Bannockburn,2018Q3,505000.0,2018
Bannockburn,2018Q4,550000.0,2018
Bannockburn,2019Q1,538000.0,2019
Bannockburn,2019Q2,477000.0,2019
Bannockburn,2019Q3,555000.0,2019
Baranduda,2018Q3,339800.0,2018
Baranduda,2018Q4,392000.0,2018
Baranduda,2019Q1,374500.0,2019
Baranduda,2019Q2,389000.0,2019
Baranduda,2019Q3,409000.0,2019
Barnawartha,2018Q3,287500.0,2018
Barnawartha,2018Q4,250000.0,2018
Barnawartha,2019Q1,294000.0,2019
Barnawartha,2019Q2,262000.0,2019
Barnawartha,2019Q3,312000.0,2019
Barwon Heads,2018Q3,932500.0,2018
Barwon Heads,2018Q4,1121000.0,2018
Barwon Heads,2019Q1,1023000.0,2019
Barwon Heads,2019Q2,1160000.0,2019
Barwon Heads,2019Q3,913500.0,2019
Baxter,2018Q3,550000.0,2018
Baxter,2018Q4,487500.0,2018
Baxter,2019Q1,550000.0,2019
Baxter,2019Q2,500000.0,2019
Baxter,2019Q3,482500.0,2019
Bayswater,2017Q1,762000.0,2017
Bayswater,2017Q2,750000.0,2017
Bayswater,2017Q3,743000.0,2017
Bayswater,2017Q4,860000.0,2017
Bayswater,2018Q2,862000.0,2018
Bayswater,2018Q3,730000.0,2018
Bayswater,2018Q4,740000.0,2018
Bayswater,2019Q1,635000.0,2019
Bayswater,2019Q2,670500.0,2019
Bayswater,2019Q3,735000.0,2019
Bayswater North,2017Q1,825000.0,2017
Bayswater North,2017Q2,616000.0,2017
Bayswater North,2017Q3,762000.0,2017
Bayswater North,2017Q4,780000.0,2017
Bayswater North,2018Q2,720000.0,2018
Bayswater North,2018Q3,678500.0,2018
Bayswater North,2018Q4,700000.0,2018
Bayswater North,2019Q1,702700.0,2019
Bayswater North,2019Q2,665000.0,2019
Bayswater North,2019Q3,707900.0,2019
Beaconsfield,2017Q3,670000.0,2017
Beaconsfield,2018Q3,728000.0,2018
Beaconsfield,2018Q4,670000.0,2018
Beaconsfield,2019Q1,753500.0,2019
Beaconsfield,2019Q2,687500.0,2019
Beaconsfield,2019Q3,675000.0,2019
Beaconsfield Upper,2017Q2,675000.0,2017
Beaconsfield Upper,2017Q3,764000.0,2017
Beaconsfield Upper,2018Q3,770000.0,2018
Beaconsfield Upper,2018Q4,987500.0,2018
Beaconsfield Upper,2019Q1,855000.0,2019
Beaconsfield Upper,2019Q2,1026000.0,2019
Beaconsfield Upper,2019Q3,635000.0,2019
Beaufort,2018Q3,212000.0,2018
Beaufort,2018Q4,242500.0,2018
Beaufort,2019Q1,280000.0,2019
Beaufort,2019Q2,296000.0,2019
Beaufort,2019Q3,225000.0,2019
Beaumaris,2017Q1,1630000.0,2017
Beaumaris,2017Q2,2200000.0,2017
Beaumaris,2017Q3,1664500.0,2017
Beaumaris,2017Q4,1780000.0,2017
Beaumaris,2018Q1,1730000.0,2018
Beaumaris,2018Q3,1710000.0,2018
Beaumaris,2018Q4,1517500.0,2018
Beaumaris,2019Q1,1320000.0,2019
Beaumaris,2019Q2,1531500.0,2019
Beaumaris,2019Q3,1682500.0,2019
Beechworth,2018Q3,390000.0,2018
Beechworth,2018Q4,414500.0,2018
Beechworth,2019Q1,485000.0,2019
Beechworth,2019Q2,450000.0,2019
Beechworth,2019Q3,520000.0,2019
Belgrave,2018Q3,698500.0,2018
Belgrave,2018Q4,640000.0,2018
Belgrave,2019Q1,611500.0,2019
Belgrave,2019Q2,573000.0,2019
Belgrave,2019Q3,620000.0,2019
Belgrave Heights,2018Q3,750000.0,2018
Belgrave Heights,2018Q4,671000.0,2018
Belgrave Heights,2019Q1,600000.0,2019
Belgrave Heights,2019Q2,683300.0,2019
Belgrave Heights,2019Q3,770000.0,2019
Bell Park,2018Q3,478500.0,2018
Bell Park,2018Q4,480800.0,2018
Bell Park,2019Q1,451000.0,2019
Bell Park,2019Q2,485000.0,2019
Bell Park,2019Q3,487500.0,2019
Bell Post Hill,2018Q3,490000.0,2018
Bell Post Hill,2018Q4,503500.0,2018
Bell Post Hill,2019Q1,468000.0,2019
Bell Post Hill,2019Q2,485000.0,2019
Bell Post Hill,2019Q3,457500.0,2019
Bellbridge,2018Q3,400000.0,2018
Bellbridge,2018Q4,418800.0,2018
Bellbridge,2019Q1,325000.0,2019
Bellbridge,2019Q2,347000.0,2019
Bellbridge,2019Q3,395000.0,2019
Bellfield,2016Q2,707500.0,2016
Bellfield,2016Q3,835000.0,2016
Bellfield,2016Q4,835000.0,2016
Bellfield,2017Q1,720000.0,2017
Bellfield,2017Q2,780000.0,2017
Bellfield,2017Q3,897000.0,2017
Bellfield,2017Q4,1059500.0,2017
Bellfield,2018Q1,815000.0,2018
Bellfield,2018Q2,810000.0,2018
Bellfield (Banyule),2018Q3,1090000.0,2018
Bellfield (Banyule),2018Q4,715000.0,2018
Bellfield (Banyule),2019Q1,787500.0,2019
Bellfield (Banyule),2019Q2,750000.0,2019
Bellfield (Banyule),2019Q3,844500.0,2019
Belmont,2018Q3,560000.0,2018
Belmont,2018Q4,536000.0,2018
Belmont,2019Q1,520000.0,2019
Belmont,2019Q2,508000.0,2019
Belmont,2019Q3,558800.0,2019
Benalla,2018Q3,278000.0,2018
Benalla,2018Q4,325000.0,2018
Benalla,2019Q1,266000.0,2019
Benalla,2019Q2,298000.0,2019
Benalla,2019Q3,286500.0,2019
Bendigo,2018Q3,406500.0,2018
Bendigo,2018Q4,375000.0,2018
Bendigo,2019Q1,420000.0,2019
Bendigo,2019Q2,465000.0,2019
Bendigo,2019Q3,390000.0,2019
Bentleigh,2016Q1,1422500.0,2016
Bentleigh,2016Q2,1341250.0,2016
Bentleigh,2016Q3,1360000.0,2016
Bentleigh,2016Q4,1340000.0,2016
Bentleigh,2017Q1,1365000.0,2017
Bentleigh,2017Q2,1479000.0,2017
Bentleigh,2017Q3,1532000.0,2017
Bentleigh,2017Q4,1573750.0,2017
Bentleigh,2018Q1,1526000.0,2018
Bentleigh,2018Q2,1740000.0,2018
Bentleigh,2018Q3,1419800.0,2018
Bentleigh,2018Q4,1257500.0,2018
Bentleigh,2019Q1,1275000.0,2019
Bentleigh,2019Q2,1320000.0,2019
Bentleigh,2019Q3,1372500.0,2019
Bentleigh East,2016Q1,1057000.0,2016
Bentleigh East,2016Q2,1010500.0,2016
Bentleigh East,2016Q3,1189000.0,2016
Bentleigh East,2016Q4,1085000.0,2016
Bentleigh East,2017Q1,1360000.0,2017
Bentleigh East,2017Q2,1304000.0,2017
Bentleigh East,2017Q3,1240000.0,2017
Bentleigh East,2017Q4,1260000.0,2017
Bentleigh East,2018Q1,1180000.0,2018
Bentleigh East,2018Q2,1220000.0,2018
Bentleigh East,2018Q3,1200000.0,2018
Bentleigh East,2018Q4,1100000.0,2018
Bentleigh East,2019Q1,1075000.0,2019
Bentleigh East,2019Q2,1135000.0,2019
Bentleigh East,2019Q3,1225000.0,2019
Berwick,2017Q1,883500.0,2017
Berwick,2017Q2,690000.0,2017
Berwick,2017Q3,783750.0,2017
Berwick,2017Q4,683000.0,2017
Berwick,2018Q1,1485000.0,2018
Berwick,2018Q2,725000.0,2018
Berwick,2018Q3,680000.0,2018
Berwick,2018Q4,685000.0,2018
Berwick,2019Q1,669000.0,2019
Berwick,2019Q2,657500.0,2019
Berwick,2019Q3,697500.0,2019
Beveridge,2018Q3,584000.0,2018
Beveridge,2018Q4,488800.0,2018
Beveridge,2019Q1,612500.0,2019
Beveridge,2019Q2,570000.0,2019
Beveridge,2019Q3,620300.0,2019
Birchip,2018Q3,68000.0,2018
Birchip,2018Q4,110000.0,2018
Birchip,2019Q1,200000.0,2019
Birchip,2019Q2,90000.0,2019
Birchip,2019Q3,101800.0,2019
Birregurra,2018Q3,415000.0,2018
Birregurra,2018Q4,473500.0,2018
Birregurra,2019Q1,352800.0,2019
Birregurra,2019Q2,586300.0,2019
Birregurra,2019Q3,462800.0,2019
Bittern,2018Q3,680000.0,2018
Bittern,2018Q4,587000.0,2018
Bittern,2019Q1,542500.0,2019
Bittern,2019Q2,557800.0,2019
Bittern,2019Q3,583800.0,2019
Black Hill,2018Q3,421000.0,2018
Black Hill,2018Q4,391000.0,2018
Black Hill,2019Q1,470000.0,2019
Black Hill,2019Q2,480000.0,2019
Black Hill,2019Q3,505000.0,2019
Black Rock,2017Q1,2235000.0,2017
Black Rock,2017Q3,1900000.0,2017
Black Rock,2017Q4,1740000.0,2017
Black Rock,2018Q1,2380000.0,2018
Black Rock,2018Q3,1775000.0,2018
Black Rock,2018Q4,1855000.0,2018
Black Rock,2019Q1,1800000.0,2019
Black Rock,2019Q2,1820000.0,2019
Black Rock,2019Q3,1891000.0,2019
Blackburn,2017Q1,1581000.0,2017
Blackburn,2017Q2,1425000.0,2017
Blackburn,2017Q3,1350000.0,2017
Blackburn,2017Q4,1300000.0,2017
Blackburn,2018Q1,1502500.0,2018
Blackburn,2018Q2,2004000.0,2018
Blackburn,2018Q3,1330000.0,2018
Blackburn,2018Q4,1195000.0,2018
Blackburn,2019Q1,1102500.0,2019
Blackburn,2019Q2,1369000.0,2019
Blackburn,2019Q3,1300000.0,2019
Blackburn North,2017Q1,1260000.0,2017
Blackburn North,2017Q2,1190000.0,2017
Blackburn North,2017Q3,1275000.0,2017
Blackburn North,2017Q4,1250000.0,2017
Blackburn North,2018Q1,990000.0,2018
Blackburn North,2018Q2,1435000.0,2018
Blackburn North,2018Q3,998500.0,2018
Blackburn North,2018Q4,923000.0,2018
Blackburn North,2019Q1,951300.0,2019
Blackburn North,2019Q2,930500.0,2019
Blackburn North,2019Q3,978500.0,2019
Blackburn South,2017Q1,1020000.0,2017
Blackburn South,2017Q2,1264000.0,2017
Blackburn South,2017Q3,1126000.0,2017
Blackburn South,2017Q4,1246000.0,2017
Blackburn South,2018Q1,1250000.0,2018
Blackburn South,2018Q2,950000.0,2018
Blackburn South,2018Q3,1006500.0,2018
Blackburn South,2018Q4,960000.0,2018
Blackburn South,2019Q1,905000.0,2019
Blackburn South,2019Q2,959000.0,2019
Blackburn South,2019Q3,1005000.0,2019
Blairgowrie,2018Q3,978500.0,2018
Blairgowrie,2018Q4,997500.0,2018
Blairgowrie,2019Q1,857500.0,2019
Blairgowrie,2019Q2,960000.0,2019
Blairgowrie,2019Q3,920000.0,2019
Blind Bight,2018Q3,549000.0,2018
Blind Bight,2018Q4,566500.0,2018
Blind Bight,2019Q1,620000.0,2019
Blind Bight,2019Q2,550000.0,2019
Blind Bight,2019Q3,520000.0,2019
Bonbeach,2017Q1,838000.0,2017
Bonbeach,2017Q3,942500.0,2017
Bonbeach,2017Q4,1120000.0,2017
Bonbeach,2018Q1,1050000.0,2018
Bonbeach,2018Q3,860000.0,2018
Bonbeach,2018Q4,880000.0,2018
Bonbeach,2019Q1,838000.0,2019
Bonbeach,2019Q2,830000.0,2019
Bonbeach,2019Q3,880000.0,2019
Bonshaw,2018Q3,279950.0,2018
Bonshaw,2018Q4,403500.0,2018
Bonshaw,2019Q1,379000.0,2019
Bonshaw,2019Q2,399000.0,2019
Bonshaw,2019Q3,399000.0,2019
Boolarra,2018Q3,292500.0,2018
Boolarra,2018Q4,230000.0,2018
Boolarra,2019Q1,261000.0,2019
Boolarra,2019Q2,187000.0,2019
Boolarra,2019Q3,230000.0,2019
Boronia,2017Q1,780000.0,2017
Boronia,2017Q3,775000.0,2017
