Suburb,Rooms,Type,Price,Date,Postcode,Bathroom,Car,Lattitude,Longtitude,Regionname,PriceRange,Year,Season,Month
Albert Park,2,h,1000000.0,2016-12-11,3206.0,1.0,0.0,-37.8407,144.9523,Southern Metropolitan,0.1M - 1M,2016,Summer,December
Albert Park,3,h,2575000.0,2016-10-15,3206.0,2.0,1.0,-37.8445,144.9501,Southern Metropolitan,1M - 3M,2016,Spring,October
Albert Park,2,h,1322500.0,2016-10-15,3206.0,1.0,0.0,-37.8443,144.9481,Southern Metropolitan,1M - 3M,2016,Spring,October
Albert Park,2,h,1562500.0,2016-10-15,3206.0,1.0,0.0,-37.8424,144.9562,Southern Metropolitan,1M - 3M,2016,Spring,October
Albert Park,3,h,2000000.0,2016-04-16,3206.0,2.0,1.0,-37.847,144.9575,Southern Metropolitan,1M - 3M,2016,Autumn,April
Albert Park,3,h,1900000.0,2017-03-18,3206.0,1.0,0.0,-37.8468,144.9546,Southern Metropolitan,1M - 3M,2017,Autumn,March
Albert Park,3,h,3010000.0,2017-03-18,3206.0,2.0,0.0,-37.8473,144.9551,Southern Metropolitan,3M - 5M,2017,Autumn,March
Albert Park,4,h,2800000.0,2016-06-18,3206.0,3.0,1.0,-37.8467,144.9475,Southern Metropolitan,1M - 3M,2016,Winter,June
Albert Park,2,u,647000.0,2016-05-22,3206.0,1.0,1.0,-37.846,144.9542,Southern Metropolitan,0.1M - 1M,2016,Autumn,May
Albert Park,3,h,2100000.0,2016-04-23,3206.0,1.0,1.0,-37.8427,144.9546,Southern Metropolitan,1M - 3M,2016,Autumn,April
Albert Park,3,h,2000000.0,2016-09-24,3206.0,1.0,1.0,-37.8461,144.9528,Southern Metropolitan,1M - 3M,2016,Spring,September
Albert Park,1,u,442500.0,2017-02-25,3206.0,1.0,0.0,-37.8421,144.9517,Southern Metropolitan,0.1M - 1M,2017,Summer,February
Albert Park,4,h,4735000.0,2017-02-25,3206.0,2.0,1.0,-37.8477,144.9558,Southern Metropolitan,3M - 5M,2017,Summer,February
Albert Park,2,h,1340000.0,2017-02-25,3206.0,1.0,0.0,-37.846,144.9517,Southern Metropolitan,1M - 3M,2017,Summer,February
Albert Park,3,h,1801000.0,2017-02-25,3206.0,1.0,1.0,-37.8429,144.9493,Southern Metropolitan,1M - 3M,2017,Summer,February
Albert Park,3,h,1532000.0,2016-07-26,3206.0,3.0,1.0,-37.8415,144.9585,Southern Metropolitan,1M - 3M,2016,Winter,July
Albert Park,3,h,3755000.0,2016-07-26,3206.0,2.0,2.0,-37.8413,144.95,Southern Metropolitan,3M - 5M,2016,Winter,July
Albert Park,4,h,2140000.0,2016-06-27,3206.0,2.0,1.0,-37.8434,144.9495,Southern Metropolitan,1M - 3M,2016,Winter,June
Albert Park,2,u,1810000.0,2016-06-27,3206.0,1.0,1.0,-37.8443,144.9529,Southern Metropolitan,1M - 3M,2016,Winter,June
Albert Park,2,h,1750000.0,2016-11-27,3206.0,1.0,1.0,-37.8416,144.9488,Southern Metropolitan,1M - 3M,2016,Spring,November
Albert Park,2,h,980000.0,2016-05-28,3206.0,1.0,0.0,-37.8387,144.9519,Southern Metropolitan,0.1M - 1M,2016,Autumn,May
Albert Park,3,h,2030000.0,2016-08-28,3206.0,2.0,0.0,-37.8488,144.9551,Southern Metropolitan,1M - 3M,2016,Winter,August
Albert Park,3,h,1740000.0,2016-08-28,3206.0,2.0,2.0,-37.8448,144.9453,Southern Metropolitan,1M - 3M,2016,Winter,August
Albert Park,3,h,2800000.0,2016-07-30,3206.0,3.0,1.0,-37.8399,144.9577,Southern Metropolitan,1M - 3M,2016,Winter,July
Albert Park,1,h,985000.0,2016-07-30,3206.0,1.0,0.0,-37.8411,144.9497,Southern Metropolitan,0.1M - 1M,2016,Winter,July
Alphington,4,h,2000000.0,2016-03-09,3078.0,2.0,4.0,-37.7707,145.0318,Northern Metropolitan,1M - 3M,2016,Autumn,March
Alphington,3,h,1110000.0,2016-03-09,3078.0,2.0,2.0,-37.7854,145.0325,Northern Metropolitan,1M - 3M,2016,Autumn,March
Alphington,3,h,1492000.0,2017-04-03,3078.0,2.0,2.0,-37.7713,145.0279,Northern Metropolitan,1M - 3M,2017,Autumn,April
Alphington,2,u,480000.0,2016-07-05,3078.0,1.0,1.0,-37.778,145.0288,Northern Metropolitan,0.1M - 1M,2016,Winter,July
Alphington,3,t,1304000.0,2016-08-10,3078.0,1.0,1.0,-37.778,145.0288,Northern Metropolitan,1M - 3M,2016,Winter,August
Alphington,4,h,1717500.0,2016-08-10,3078.0,2.0,1.0,-37.7717,145.031,Northern Metropolitan,1M - 3M,2016,Winter,August
Alphington,5,h,2840000.0,2016-12-06,3078.0,4.0,4.0,-37.775,145.0268,Northern Metropolitan,1M - 3M,2016,Summer,December
Alphington,2,u,525500.0,2016-12-11,3078.0,1.0,1.0,-37.7791,145.0306,Northern Metropolitan,0.1M - 1M,2016,Summer,December
Alphington,2,t,805000.0,2016-12-11,3078.0,2.0,3.0,-37.7804,145.0308,Northern Metropolitan,0.1M - 1M,2016,Summer,December
Alphington,2,u,465000.0,2016-12-11,3078.0,1.0,1.0,-37.7773,145.0314,Northern Metropolitan,0.1M - 1M,2016,Summer,December
Alphington,3,h,1480000.0,2016-08-13,3078.0,1.0,1.0,-37.778,145.0288,Northern Metropolitan,1M - 3M,2016,Winter,August
Alphington,3,h,2000000.0,2016-10-15,3078.0,3.0,2.0,-37.78,145.0341,Northern Metropolitan,1M - 3M,2016,Spring,October
Alphington,3,h,1540000.0,2016-04-16,3078.0,1.0,2.0,-37.7755,145.0288,Northern Metropolitan,1M - 3M,2016,Autumn,April
Alphington,2,u,590000.0,2016-09-17,3078.0,1.0,1.0,-37.778,145.0288,Northern Metropolitan,0.1M - 1M,2016,Spring,September
Alphington,2,u,820000.0,2017-03-18,3078.0,1.0,1.0,-37.7747,145.0264,Northern Metropolitan,0.1M - 1M,2017,Autumn,March
Alphington,4,h,1830000.0,2016-11-19,3078.0,2.0,2.0,-37.7743,145.0316,Northern Metropolitan,1M - 3M,2016,Spring,November
Alphington,4,h,2100000.0,2016-11-19,3078.0,2.0,2.0,-37.7723,145.0319,Northern Metropolitan,1M - 3M,2016,Spring,November
Alphington,3,h,865000.0,2016-05-22,3078.0,1.0,1.0,-37.7802,145.0243,Northern Metropolitan,0.1M - 1M,2016,Autumn,May
Alphington,2,u,390000.0,2016-05-22,3078.0,1.0,1.0,-37.7773,145.0314,Northern Metropolitan,0.1M - 1M,2016,Autumn,May
Alphington,2,t,650000.0,2016-09-24,3078.0,1.0,0.0,-37.7848,145.025,Northern Metropolitan,0.1M - 1M,2016,Spring,September
Alphington,2,u,512000.0,2017-02-25,3078.0,1.0,1.0,-37.7805,145.0262,Northern Metropolitan,0.1M - 1M,2017,Summer,February
Alphington,3,h,1361000.0,2017-02-25,3078.0,1.0,1.0,-37.7796,145.0285,Northern Metropolitan,1M - 3M,2017,Summer,February
Alphington,3,h,1310000.0,2016-07-26,3078.0,1.0,1.0,-37.778,145.0288,Northern Metropolitan,1M - 3M,2016,Winter,July
Alphington,3,h,570000.0,2016-06-27,3078.0,1.0,1.0,-37.778,145.0288,Northern Metropolitan,0.1M - 1M,2016,Winter,June
Alphington,3,h,1165000.0,2016-06-27,3078.0,1.0,2.0,-37.7792,145.029,Northern Metropolitan,1M - 3M,2016,Winter,June
Alphington,2,u,530000.0,2016-11-27,3078.0,1.0,1.0,-37.778,145.0288,Northern Metropolitan,0.1M - 1M,2016,Spring,November
Alphington,4,h,1900000.0,2016-11-27,3078.0,2.0,2.0,-37.7844,145.0225,Northern Metropolitan,1M - 3M,2016,Spring,November
Alphington,3,h,1485000.0,2016-08-28,3078.0,0.0,0.0,-37.7781,145.0284,Northern Metropolitan,1M - 3M,2016,Winter,August
